codProc,nome
0202010520,DOSAGEM DE ISOMERASE-FOSFOHEXOSE
0202010538,DOSAGEM DE LACTATO
0202010546,DOSAGEM DE LEUCINO-AMINOPEPTIDASE
0202010554,DOSAGEM DE LIPASE
0202070255,DOSAGEM DE LITIO
0202010562,DOSAGEM DE MAGNESIO
0202070263,DOSAGEM DE MERCURIO
0202070280,DOSAGEM DE METABOLITOS DA COCAINA
0202070271,DOSAGEM DE META-HEMOGLOBINA
0202070298,DOSAGEM DE METOTREXATO
0202050092,DOSAGEM DE MICROALBUMINA NA URINA
0202010570,DOSAGEM DE MUCO-PROTEINAS
0202050106,DOSAGEM DE OXALATO
0202060276,DOSAGEM DE PARATORMONIO
0202060284,DOSAGEM DE PEPTIDEO C
0202010589,DOSAGEM DE PIRUVATO
0202020347,DOSAGEM DE PLASMINOGENIO
0202010597,DOSAGEM DE PORFIRINAS
0202010600,DOSAGEM DE POTASSIO
0202060292,DOSAGEM DE PROGESTERONA
0202060306,DOSAGEM DE PROLACTINA
0202030202,DOSAGEM DE PROTEINA C REATIVA
0202050114,DOSAGEM DE PROTEINAS (URINA DE 24 HORAS)
0202090132,DOSAGEM DE PROTEINAS NO LIQUIDO SINOVIAL E DERRAMES
0202010619,DOSAGEM DE PROTEINAS TOTAIS
0202010627,DOSAGEM DE PROTEINAS TOTAIS E FRACOES
0202070301,DOSAGEM DE QUINIDINA
0202060314,DOSAGEM DE RENINA
0202070310,DOSAGEM DE SALICILATOS
0202010635,DOSAGEM DE SODIO
0202090140,DOSAGEM DE SODIO E CLORO NO SUOR (C/ COLETA)
0202060322,DOSAGEM DE SOMATOMEDINA C (IGF1)
0202060330,DOSAGEM DE SULFATO DE HIDROEPIANDROSTERONA (DHEAS)
0202070328,DOSAGEM DE SULFATOS
0202070336,DOSAGEM DE TEOFILINA
0202060349,DOSAGEM DE TESTOSTERONA
0202060357,DOSAGEM DE TESTOSTERONA LIVRE
0202070344,DOSAGEM DE TIOCIANATO
0202060365,DOSAGEM DE TIREOGLOBULINA
0202060373,DOSAGEM DE TIROXINA (T4)
0202060381,DOSAGEM DE TIROXINA LIVRE (T4 LIVRE)
0202010643,DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)
0202010651,DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)
0202010660,DOSAGEM DE TRANSFERRINA
0202010678,DOSAGEM DE TRIGLICERIDEOS
0202060390,DOSAGEM DE TRIIODOTIRONINA (T3)
0202110079,DOSAGEM DE TRIPSINA IMUNORREATIVA (COMPONENTE DO TESTE DO PEZINHO)
0202010686,DOSAGEM DE TRIPTOFANO
0202031209,DOSAGEM DE TROPONINA
0202110087,DOSAGEM DE TSH E T4 LIVRE (CONTROLE / DIAGNOSTICO TARDIO)
0202010694,DOSAGEM DE UREIA
0202010708,DOSAGEM DE VITAMINA B12
0202070352,DOSAGEM DE ZINCO
0202031217,DOSAGEM DO ANTÍGENO CA 125
0202050122,DOSAGEM E/OU FRACIONAMENTO DE ACIDOS ORGANICOS
0202110117,DOSAGEM QUANTITATIVA DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SORO
0202100162,DOSAGEM QUANTITATIVA DE ÁCIDOS ORGÂNICOS
0202100154,DOSAGEM QUANTITATIVA DE AMINOÁCIDOS
0202100146,DOSAGEM QUANTITATIVA DE CARNITINA, PERFIL DE ACILCARNITINAS
0204030021,DUCTOGRAFIA (POR MAMA)
0204050049,DUODENOGRAFIA HIPOTONICA
0205010016,ECOCARDIOGRAFIA DE ESTRESSE
0205010024,ECOCARDIOGRAFIA TRANSESOFAGICA
0205010032,ECOCARDIOGRAFIA TRANSTORACICA
0205020011,ECODOPPLER TRANSCRANIANO
0211020036,ELETROCARDIOGRAMA
0211070122,ELETROCOCLEOGRAFIA
0211030082,ELETRODIAGNÓSTICO CINÉTICO FUNCIONAL
0211050024,ELETROENCEFALOGRAFIA EM VIGILIA C/ OU S/ FOTO-ESTIMULO
0211050032,ELETROENCEFALOGRAMA EM SONO INDUZIDO C/ OU S/ MEDICAMENTO (EEG)
0211050040,ELETROENCEFALOGRAMA EM VIGILIA E SONO ESPONTANEO C/ OU S/ FOTOESTIMULO (EEG)
0211050059,ELETROENCEFALOGRAMA QUANTITATIVO C/ MAPEAMENTO (EEG)
0202020355,ELETROFORESE DE HEMOGLOBINA
0202010716,ELETROFORESE DE LIPOPROTEINAS
0202010724,ELETROFORESE DE PROTEINAS
0202090159,ELETROFORESE DE PROTEINAS C/ CONCENTRACAO NO LIQUOR
0211070130,ELETROGUSTOMETRIA
0211030090,ELETROMIOGRAFIA DINÂMICA, AVALIAÇÃO CINÉTICA, CINEMÁTICA E DE PARÂMETROS LINEARES
0211050067,ELETROMIOGRAMA (EMG)
0211050075,ELETROMIOGRAMA C/ ESTUDO DE FIBRA UNICA
0211050083,ELETRONEUROMIOGRAMA (ENMG)
0211060070,ELETRO-OCULOGRAFIA
0211060089,ELETRORETINOGRAFIA
0211070149,EMISSOES OTOACUSTICAS EVOCADAS P/ TRIAGEM AUDITIVA (TESTE DA ORELHINHA)
0213010020,ENSAIO IMUNOENZIMATICO -TESTE DE ELISA P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010038,ENSAIO IMUNOENZIMATICO-ELISA P/ IDENTIFICACAO DO VIRUS DA FEBRE DO NILO OCIDENTAL
0202100189,ENSAIOS ENZIMÁTICOS EM ERITRÓCITOS PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO
0202100197,ENSAIOS ENZIMÁTICOS EM TECIDO CULTIVADO PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO
0202100170,ENSAIOS ENZIMÁTICOS NO PLASMA E LEUCÓCITOS PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO
0202020363,ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)
0204060036,ESCANOMETRIA
0209010037,ESOFAGOGASTRODUODENOSCOPIA
0202090167,ESPECTROFOTOMETRIA NO LIQUIDO AMNIOTICO
0211080012,ESPIROGRAFIA C/ DETERMINACAO DO VOLUME RESIDUAL
0211080055,ESPIROMETRIA OU PROVA DE FUNCAO PULMONAR COMPLETA COM BRONCODILATADOR
0202090175,ESPLENOGRAMA
0210010169,ESPLENOPORTOGRAFIA
0211060097,ESTESIOMETRIA
0211070157,ESTUDO DE EMISSOES OTOACUSTICAS EVOCADAS TRANSITORIAS E PRODUTOS DE DISTORCAO (EOA)
0208060030,ESTUDO DE FLUXO SANGUINEO CEREBRAL
0208040102,ESTUDO RENAL DINAMICO C/ OU S/ DIURETICO
0211070165,ESTUDO TOPODIAGNOSTICO DA PARALISIA FACIAL
0203020065,EXAME ANATOMOPATOLOGICO DE MAMA - BIOPSIA
0203020073,EXAME ANATOMOPATOLOGICO DE MAMA - PECA CIRURGICA
0203020081,EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - BIOPSIA
0203020022,EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - PECA CIRURGICA
0203020030,EXAME ANATOMO-PATOLÓGICO PARA CONGELAMENTO / PARAFINA POR PEÇA CIRURGICA OU POR BIOPSIA (EXCETO COLO UTERINO E MAMA)
0203010086,EXAME CITOPATOLÓGICO CERVICO VAGINAL/MICROFLORA-RASTREAMENTO
0203010019,EXAME CITOPATOLOGICO CERVICO-VAGINAL/MICROFLORA
0203010043,EXAME CITOPATOLOGICO DE MAMA
0203010027,EXAME CITOPATOLOGICO HORMONAL SERIADO (MINIMO 3 COLETAS)
0202040038,EXAME COPROLOGICO FUNCIONAL
0202090183,EXAME DE CARACTERES FISICOS CONTAGEM GLOBAL E ESPECIFICA DE CELULAS
0203010035,EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA)
0211070173,EXAME DE ORGANIZACAO PERCEPTIVA
0202031225,EXAME LABORATORIAL PARA DOENÇA DE GAUCHER I
0202031233,EXAME LABORATORIAL PARA DOENÇA DE GAUCHER II
0202080145,EXAME MICROBIOLOGICO A FRESCO (DIRETO)
0211040037,EXAME MICROBIOLOGICO A FRESCO DO CONTEUDO CERVIC0-VAGINAL
0211070181,EXAME NEUROPSICOMOTOR EVOLUTIVO
0213010062,EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGAS1 (LEISHMANIOSE VISCERAL CANINA)
0213010070,EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGASI (LEISHMANIOSE VISCERAL HUMANA)
0213010054,EXAME PARASITOLOGICO DIRETO P/ LEISHMANIAS (LEISHMANIOSE TEGUMENTAR AMERICANA)
0202050130,EXAME QUALITATIVO DE CALCULOS URINARIOS
0212010018,EXAMES IMUNOHEMATOLOGICOS EM DOADOR DE SANGUE
0212010026,EXAMES PRE-TRANSFUSIONAIS I
0212010034,EXAMES PRE-TRANSFUSIONAIS II
0211050091,EXPLORACAO DIAGNOSTICA PELO VIDEO-ELETROENCEFALOGRAMA COM OU SEM USO DE ELETRODO DE PROFUNDIDADE
0213010089,FAGOTIPAGEM P/ IDENTIFICACAO DA SALMONELA TYPHI (FEBRE TIFOIDE)
0202120031,FENOTIPAGEM DE SISTEMA RH - HR
0212010042,FENOTIPAGEM K, FYA, FYB, JKA, JKB EM GEL
0202100090,FISH EM METÁFASE OU NÚCLEO INTERFÁSICO, POR DOENÇA
0204050057,FISTULOGRAFIA
0210010185,FLEBOGRAFIA DE CAVA INFERIOR E/OU SUPERIOR
0210010177,FLEBOGRAFIA DE MEMBRO
0202100057,FOCALIZAÇÃO ISOELÉTRICA DA TRANSFERRINA
0211060100,FUNDOSCOPIA
0211080020,GASOMETRIA
0211080039,GASOMETRIA (APOS EXERCICIO CICLO-ERGOMETRICO)
0211080047,GASOMETRIA (APOS OXIGENIO A 100 DURANTE A DIFUSAO ALVEOLO-CAPILAR)
0202010732,GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )
0202030210,GENOTIPAGEM DE VIRUS DA HEPATITE C
0213010542,GENOTIPAGEM DO HCV
0202031241,GENOTIPAGEM DO HIV
0214010015,GLICEMIA CAPILAR
0211060119,GONIOSCOPIA
0211070190,GUSTOMETRIA
0202020371,HEMATOCRITO
0202080153,HEMOCULTURA
0202020380,HEMOGRAMA COMPLETO
0211040045,HISTEROSCOPIA (DIAGNOSTICA)
0209030011,HISTEROSCOPIA CIRÚRGICA
0204050065,HISTEROSSALPINGOGRAFIA
0213010097,HISTOPATOLOGIA P/ IDENTIFICACAO DA HEPATITE A
0213010100,HISTOPATOLOGIA P/ IDENTIFICACAO DA HEPATITE D
0213010119,HISTOPATOLOGIA P/ IDENTIFICACAO DE DENGUE
0213010127,HISTOPATOLOGIA P/ IDENTIFICACAO DE FEBRE AMARELA
0213010135,HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE B
0213010143,HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE C
0213010178,HISTOQUIMICA P/ IDENTIFICACAO DE HEPATITE C
0213010160,HISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE A
0202080161,IDENTIFICACAO AUTOMATIZADA DE MICROORGANISMOS
0202100103,IDENTIFICAÇÃO DE ALTERAÇÃO CROMOSSÔNICA SUBMICROSCÓPICA POR ARRAY-CGH
0202120040,IDENTIFICACAO DE ANTICORPOS SERICOS IRREGULARES C/ PAINEL DE HEMACIAS
0202040046,IDENTIFICACAO DE FRAGMENTOS DE HELMINTOS
0202050076,IDENTIFICAÇÃO DE GLICÍDIOS URINÁRIOS POR CROMATOGRAFIA (CAMADA DELGADA)
0202100120,IDENTIFICAÇÃO DE GLICOSAMINOGLICANOS URINÁRIOS POR CROMATOGRAFIA EM CAMADA DELGADA , ELETROFORESE E DOSAGEM QUANTITATIVA
0202100111,IDENTIFICAÇÂO DE MUTAÇÃO POR SEQUENCIAMENTO POR AMPLICON ATÉ 500 PARES DE BASES
0202100081,IDENTIFICAÇÃO DE MUTAÇÃO/REARRANJOS POR PCR, PCR SENSÍVEL A METILAÇÃO, qPCR E qPCR SENSÍVEL A METILAÇÃO
0202100138,IDENTIFICAÇÃO DE OLIGOSSACARÍDEOS E SIALOSSACARÍDEOS POR CROMATOGRAFIA (CAMADA DELGADA)
0213010186,IDENTIFICACAO DE VIRUS DA RAIVA POR RT-PCR
0213010194,IDENTIFICACAO DO HANTAVIRUS POR RT-PCR (HANTAVIROSE)
0213010208,IDENTIFICACAO DO VIRUS DA HEPATITE B POR PCR (QUANTITATIVO)
0211070203,IMITANCIOMETRIA
0208020128,IMUNO-CINTILOGRAFIA (ANTICORPO MONOCLONAL)
0213010216,IMUNOCROMATOGRAFIA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)
0202030229,IMUNOELETROFORESE DE PROTEINAS
0202030237,IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)
0213010224,IMUNOFLUORESCENCIA DIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA
0213010232,IMUNOFLUORESCENCIA DIRETA P/ IDENTIFICACAO DO VIRUS DA RAIVA
0213010240,IMUNOFLUORESCENCIA INDIRETA P/ (IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010259,IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)
0213010267,IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)
0213010275,IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DO SHISTOSSOMA MANSONI
0203020049,IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)
0213010291,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DA RICKETTISIA RICKETTSII (FEBRE MACULOSA)
0213010305,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010321,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO HANTAVIRUS (HANTAVIROSE)
0213010330,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA DENGUE
0213010348,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA
0213010356,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE B
0213010364,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE D
0202030245,INTRADERMORREACAO COM DERIVADO PROTEICO PURIFICADO (PPD)
0211010022,INVESTIGACAO ULTRASSONICA (PLETISMOGRAFIA)
0212020030,IRRADIACAO DE SANGUE E COMPONENTES DESTINADOS A TRANSFUSAO
0213010372,ISOLAMENTO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)
0213010380,ISOLAMENTO DO VIRUS DA DENGUE
0213010399,ISOLAMENTO DO VIRUS DA FEBRE DO NILO OCIDENTAL
0213010402,ISOLAMENTO DO VIRUS DA INFLUENZA
0213010410,ISOLAMENTO DO VIRUS DA MENINGITE VIRAL
0213010429,ISOLAMENTO DO VIRUS DA POLIOMIELITE
0213010437,ISOLAMENTO DO VIRUS DA RAIVA
0213010445,ISOLAMENTO DO VIRUS DO SARAMPO
0209010045,LAPAROSCOPIA
0209040025,LARINGOSCOPIA
0202020398,LEUCOGRAMA
0210010193,LINFANGIOADENOGRAFIA
0208080040,LINFOCINTILOGRAFIA
0211070211,LOGOAUDIOMETRIA (LDV-IRF-LRF)
0204030030,MAMOGRAFIA
0204030188,MAMOGRAFIA BILATERAL PARA RASTREAMENTO
0211060127,MAPEAMENTO DE RETINA
0211070386,MAPEAMENTO E BALANCEAMENTO DOS ELETRODOS
0205020194,MARCACAO DE LESAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A ULTRASSONOGRAFIA
0204030048,MARCACAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A MAMOGRAFIA
0211060135,MEDIDA DE OFUSCAMENTO E CONTRASTE
0213010453,MICRO-AGLUTINACAO P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0211060143,MICROSCOPIA ESPECULAR DE CORNEA
0204020018,MIELOGRAFIA
0202090191,MIELOGRAMA
0211020044,MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS)
0211020052,MONITORIZACAO AMBULATORIAL DE PRESSAO ARTERIAL (M.A.P.A)
0203020057,NECROPSIA
0211070220,OLFATOMETRIA
0211010030,OSCILOMETRIA DE IMPULSO
0211020079,OXIMETRIA DE PULSO (TESTE DO CORAÇÃOZINHO)
0205020020,PAQUIMETRIA ULTRASSÔNICA
0202080170,PEQUISA DE PNEUMOCYSTI CARINI
0211090069,PERFIL DE PRESSAO URETRAL
0211040053,PERSUFLACAO TUBARIA (DIAGNOSTICA)
0202050149,PESQUISA / DOSAGEM DE AMINOACIDOS (POR CROMATOGRAFIA)
0202050157,PESQUISA DE ALCAPTONA NA URINA
0202050165,PESQUISA DE AMINOACIDOS NA URINA
0202030253,PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA
0202030261,PESQUISA DE ANTICORPO IGM ANTICARDIOLIPINA
0202030377,PESQUISA DE ANTICORPOS ANTIADENOVIRUS
0202030385,PESQUISA DE ANTICORPOS ANTIAMEBAS
0202030393,PESQUISA DE ANTICORPOS ANTIASPERGILLUS
0202030407,PESQUISA DE ANTICORPOS ANTIBRUCELAS
0202030415,PESQUISA DE ANTICORPOS ANTICISTICERCO
0202030423,PESQUISA DE ANTICORPOS ANTICLAMIDIA (POR IMUNOFLUORESCENCIA)
0202031268,PESQUISA DE ANTICORPOS ANTICORPOS ANTI-HTLV-1 (WESTERN-BLOT)
0202030431,PESQUISA DE ANTICORPOS ANTICORTEX SUPRARENAL
0202030270,PESQUISA DE ANTICORPOS ANTI-DNA
0202030440,PESQUISA DE ANTICORPOS ANTIEQUINOCOCOS
0202030458,PESQUISA DE ANTICORPOS ANTIESCLERODERMA (SCL 70)
0202030466,PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES
0202090213,PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES ( ELISA )
0202030474,PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO)
0202030482,PESQUISA DE ANTICORPOS ANTIFIGADO
0202030504,PESQUISA DE ANTICORPOS ANTIGLOMERULO
0202030288,PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI
0202030296,PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT)
0202030300,PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)
0202030318,PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2
0202030512,PESQUISA DE ANTICORPOS ANTIILHOTA DE LANGERHANS
0202030520,PESQUISA DE ANTICORPOS ANTIINSULINA
0202030539,PESQUISA DE ANTICORPOS ANTILEPTOSPIRAS
0202030547,PESQUISA DE ANTICORPOS ANTILISTERIA
0202030555,PESQUISA DE ANTICORPOS ANTIMICROSSOMAS
0202030563,PESQUISA DE ANTICORPOS ANTIMITOCONDRIA
0202030571,PESQUISA DE ANTICORPOS ANTIMUSCULO ESTRIADO
0202030580,PESQUISA DE ANTICORPOS ANTIMUSCULO LISO
0202030598,PESQUISA DE ANTICORPOS ANTINUCLEO
0202030601,PESQUISA DE ANTICORPOS ANTIPARIETAIS
0202030610,PESQUISA DE ANTICORPOS ANTIPLASMODIOS
0202030326,PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP)
0202030334,PESQUISA DE ANTICORPOS ANTI-SCHISTOSOMAS
0202030342,PESQUISA DE ANTICORPOS ANTI-SM
0202030350,PESQUISA DE ANTICORPOS ANTI-SS-A (RO)
0202030369,PESQUISA DE ANTICORPOS ANTI-SS-B (LA)
0202030628,PESQUISA DE ANTICORPOS ANTITIREOGLOBULINA
0202030636,PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS)
0202030644,PESQUISA DE ANTICORPOS CONTRA ANTIGENO E DO VIRUS DA HEPATITE B (ANTI-HBE)
0202030652,PESQUISA DE ANTICORPOS CONTRA HISTOPLASMA
0202030660,PESQUISA DE ANTICORPOS CONTRA O SPOROTRIX SCHENKII
0202030679,PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV)
0202030687,PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE D (ANTI-HDV)
0202030695,PESQUISA DE ANTICORPOS CONTRA O VIRUS DO SARAMPO
0202030709,PESQUISA DE ANTICORPOS CONTRA PARACOCCIDIOIDES BRASILIENSIS
0202030717,PESQUISA DE ANTICORPOS E/OU ANTIGENO DO VIRUS SINCICIAL RESPIRATORIO
0202030725,PESQUISA DE ANTICORPOS EIE ANTICLAMIDIA
0202030733,PESQUISA DE ANTICORPOS HETEROFILOS CONTA O VIRUS EPSTEIN-BARR
0202030741,PESQUISA DE ANTICORPOS IGG ANTICITOMEGALOVIRUS
0202030750,PESQUISA DE ANTICORPOS IGG ANTILEISHMANIAS
0202030768,PESQUISA DE ANTICORPOS IGG ANTITOXOPLASMA
0202030776,PESQUISA DE ANTICORPOS IGG ANTITRYPANOSOMA CRUZI
0202030792,PESQUISA DE ANTICORPOS IGG CONTRA ARBOVIRUS
0202030806,PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA HEPATITE A (HAV-IGG)
0202030814,PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA RUBEOLA
0202030822,PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA VARICELA-HERPES ZOSTER
0202030830,PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS EPSTEIN-BARR
0202030849,PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS HERPES SIMPLES
0202030784,PESQUISA DE ANTICORPOS IGG E IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-TOTAL)
0202030857,PESQUISA DE ANTICORPOS IGM ANTICITOMEGALOVIRUS
0202030865,PESQUISA DE ANTICORPOS IGM ANTILEISHMANIAS
0202030873,PESQUISA DE ANTICORPOS IGM ANTITOXOPLASMA
0202030881,PESQUISA DE ANTICORPOS IGM ANTITRYPANOSOMA CRUZI
0202030890,PESQUISA DE ANTICORPOS IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-IGM)
0202030903,PESQUISA DE ANTICORPOS IGM CONTRA ARBOVIRUS
0202030911,PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA HEPATITE A (HAV-IGG)
0202030920,PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA RUBEOLA
0202030938,PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA VARICELA-HERPES ZOSTER
0202030946,PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS EPSTEIN-BARR
0202030954,PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS HERPES SIMPLES
0202120058,PESQUISA DE ANTICORPOS IRREGULARES PELO METODO DA ELUICAO
0202120066,PESQUISA DE ANTICORPOS SERICOS IRREGULARES 37OC
0202120074,PESQUISA DE ANTICORPOS SERICOS IRREGULARES A FRIO
0202030962,PESQUISA DE ANTIGENO CARCINOEMBRIONARIO (CEA)
0202030970,PESQUISA DE ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBSAG)
0202030989,PESQUISA DE ANTIGENO E DO VIRUS DA HEPATITE B (HBEAG)
0202020401,PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA
0202080188,PESQUISA DE BACILO DIFTERICO
0202050173,PESQUISA DE BETA-MERCAPTO-LACTATO-DISSULFIDURIA
0202050181,PESQUISA DE CADEIAS LEVES KAPPA E LAMBDA
0202090230,PESQUISA DE CARACTERES FISICOS NO LIQUOR
0202020410,PESQUISA DE CELULAS LE
0202090248,PESQUISA DE CELULAS ORANGIOFILAS
0202050190,PESQUISA DE CISTINA NA URINA
0202050203,PESQUISA DE COPROPORFIRINA NA URINA
0214010023,PESQUISA DE CORPOS CETONICOS NA URINA
0202020428,PESQUISA DE CORPUSCULOS DE HEINZ
0202031004,PESQUISA DE CRIOGLOBULINAS
0202090256,PESQUISA DE CRISTAIS C/ LUZ POLARIZADA
0202040054,PESQUISA DE ENTEROBIUS VERMICULARES (OXIURUS OXIURA)
0202040062,PESQUISA DE EOSINOFILOS
0202050211,PESQUISA DE ERROS INATOS DO METABOLISMO NA URINA
0202090264,PESQUISA DE ESPERMATOZOIDES (APOS VASECTOMIA)
0202080196,PESQUISA DE ESTREPTOCOCOS BETA-HEMOLITICOS DO GRUPO A
0202031012,PESQUISA DE FATOR REUMATOIDE (WAALER-ROSE)
0202120082,PESQUISA DE FATOR RH (INCLUI D FRACO)
0202050220,PESQUISA DE FENIL-CETONA NA URINA
0202020436,PESQUISA DE FILARIA
0211070238,PESQUISA DE FISTULA PERILINFATICA
0202050238,PESQUISA DE FRUTOSE NA URINA
0202050246,PESQUISA DE GALACTOSE NA URINA
0211070246,PESQUISA DE GANHO DE INSERCAO
0214010031,PESQUISA DE GLICOSE NA URINA
0202050254,PESQUISA DE GONADOTROFINA CORIONICA
0202040070,PESQUISA DE GORDURA FECAL
0202080200,PESQUISA DE HAEMOPHILUS DUCREY
0202080218,PESQUISA DE HELICOBACTER PYLORI
0202020444,PESQUISA DE HEMOGLOBINA S
0202031020,PESQUISA DE HIV-1 POR IMUNOFLUORESCENCIA
0202050262,PESQUISA DE HOMOCISTINA NA URINA
0202031039,PESQUISA DE IMUNOGLOBULINA E (IGE) ALERGENO-ESPECIFICA
0202050270,PESQUISA DE LACTOSE NA URINA
0202040089,PESQUISA DE LARVAS NAS FEZES
0202080226,PESQUISA DE LEPTOSPIRAS
0202040097,PESQUISA DE LEUCOCITOS NAS FEZES
0202040100,PESQUISA DE LEVEDURAS NAS FEZES
0202060470,PESQUISA DE MACROPROLACTINA
0202050289,PESQUISA DE MUCOPOLISSACARIDEOS NA URINA
0202040119,PESQUISA DE OVOS DE SCHISTOSOMAS (EM FRAGMENTO DE MUCOSA)
0202040127,PESQUISA DE OVOS E CISTOS DE PARASITAS
0211070254,PESQUISA DE PARES CRANIANOS
0202020452,PESQUISA DE PLASMODIO
0202050297,PESQUISA DE PORFOBILINOGENIO NA URINA
0202050300,PESQUISA DE PROTEINAS URINARIAS (POR ELETROFORESE)
0202090272,PESQUISA DE RAGOCITOS NO LIQUIDO SINOVIAL E DERRAMES
0202040135,PESQUISA DE ROTAVIRUS NAS FEZES
0202040143,PESQUISA DE SANGUE OCULTO NAS FEZES
0202040151,PESQUISA DE SUBSTANCIAS REDUTORAS NAS FEZES
0202050319,PESQUISA DE TIROSINA NA URINA
0202080234,PESQUISA DE TREPONEMA PALLIDUM
0202020460,PESQUISA DE TRIPANOSSOMA
0213010461,PESQUISA DE TRIPANOSSOMAS (NO BARBEIRO)
0202040160,PESQUISA DE TRIPSINA NAS FEZES
0202040178,PESQUISA DE TROFOZOITAS NAS FEZES
0202031047,PESQUISA DE TRYPANOSOMA CRUZI (POR IMUNOFLUORESCENCIA)
0204050073,PIELOGRAFIA ANTEROGRADA PERCUTANEA
0204050081,PIELOGRAFIA ASCENDENTE
0204020026,PLANIGRAFIA DE COLUNA VERTEBRAL
0204010020,PLANIGRAFIA DE LARINGE
0204060044,PLANIGRAFIA DE OSSO - SUBSIDIARIA A OUTROS EXAMES (POR PLANO)
0204060052,PLANIGRAFIA DE OSSO EM 2 PLANOS
0204050090,PLANIGRAFIA DE RIM C/ CONTRASTE
